eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU VILA RUBI	R DOMINGOS TARROSO, 101		VILA RUBI	04823-090	1	2	103	355030823000082	3550308005219	23	CIDADE DUTRA	19	CAPELA DO SOCORRO	SUL	SUL 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CHÁCARA DO CASTELO	R BRÁS LOURENÇO, 333	5573-4929	JD. DA GLÓRIA	04113-110	1	2	70	355030890000113	3550308005046	90	VILA MARIANA	12	VILA MARIANA	SUL	SUL 1	BIBLIOTECA		30	ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CLARICE LISPECTOR	R JARICUNAS, 458	3672-1423	VILA IPOJUCA	05053-07	1	2	107	355030848000044	3550308005059	48	LAPA	8	LAPA	OESTE	OESTE	BIBLIOTECA	19560907		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
ESTADUAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CONDEPHAAT - BIBLIOTECA	R MAUÁ, 51	3351-8002	CENTRO		2	2	86	355030869000101	3550308005014	69	SANTA CECILIA	9	SE	CENTRO	CENTRO					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CORA CORALINA	R OTELO A. RIBEIRO, 113	2557-8004	GUAIANASES	08461-00	1	2	11	355030831000058	3550308005264	31	GUAIANASES	28	GUAIANAZES	LESTE	LESTE 2	BIBLIOTECA	19660521		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	DISTRIBUIÇÃO DOS ÔNIBUS BIBLIOTECAS	R TAQUARI, 549	6292-5126	MOOCA	03166-00	1	2	61	355030853000057	3550308005017	53	MOOCA	25	MOOCA	LESTE	LESTE 1	SEDE				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	EDUCADOR PAULO FREIRE - CEU PERA-MARMELO	R PERA-MARMELO, 226 - VILA AURORA	39483915	VILA AURORA		1	2	130	355030842000151	3550308005185	42	JARAGUA	2	PIRITUBA	NORTE	NORTE 2	CEU	20031113	180	SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ÉRICO VERISSIMO	R DIÓGENES DOURADO, 101	3972-0450	PARADA TAIPAS	02815-14	1	2	115	355030842000143	3550308005188	42	JARAGUA	2	PIRITUBA	NORTE	NORTE 2	BIBLIOTECA	19860915	80	ATENDE ÀS NORMAS	SIM
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ESPAÇO SAPUCAIA - BIBLIOTECA	AV IV CENTENÁRIO, 1268, PORTÃO 7 A	5572-1004	PARQUE IBIRAPUERA		1	2	95	355030832000011	3550308005049	32	MOEMA	12	VILA MARIANA	SUL	SUL 1					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	EUGÊNIA ALVARO MOREYRA - CEU JAMBEIRO	R FLORES DO JAMBEIRO, 61 - GUAIANASES	69602055	GUAIANASES		1	2	17	355030896000121	3550308005258	96	LAJEADO	28	GUAIANAZES	LESTE	LESTE 2	CEU	20030801		SEM INFORMAÇÃO	SEM INFORMAÇÃO
